pk,name,league,nickname,address,city,state,country,phone,stadium
397,Savannah College of Art and Design (Atlanta campus),115,Bees,,,,,,,,
398,Tennessee Wesleyan University,115,Bulldogs,,,,,,,,
399,Truett McConnell University,115,Bears,,,,,,,,
400,Union College,115,Bulldogs,,,,,,,,
401,Campbell University,26,Fighting Camels,,,,,,,,
402,Charleston Southern University,26,Buccaneers,,,,,,,,
403,Gardner–Webb University,26,Runnin' Bulldogs,,,,,,,,
404,High Point University,26,Panthers,,,,,,,,
405,Liberty University,26,Flames,,,,,,,,
406,Longwood University,26,Lancers,,,,,,,,
407,Presbyterian College,26,Blue Hose,,,,,,,,
408,Radford University,26,Highlanders,,,,,,,,
409,University of North Carolina at Asheville,26,Bulldogs,,,,,,,,
410,Winthrop University,26,Eagles,,,,,,,,
411,California Polytechnic State University,27,Mustangs,,,,,,,,
412,"California State University, Fullerton",27,Titans,,,,,,,,
413,"California State University, Northridge",27,Matadors,,,,,,,,
414,University of Hawaii at Manoa,27,Rainbow Warriors,,,,,,,,
415,"California State University, Long Beach",27,49ers,,,,,,,,
416,"University of California, Davis",27,Aggies,,,,,,,,
417,"University of California, Irvine",27,Anteaters,,,,,,,,
418,"University of California, Riverside",27,Highlanders,,,,,,,,
419,"University of California, Santa Barbara",27,Gauchos,,,,,,,,
426,Cleveland State University,30,Vikings,,,,,,,,
427,University of Detroit Mercy,30,Titans,,,,,,,,
428,University of Wisconsin–Green Bay,30,Phoenix,,,,,,,,
429,Indiana University – Purdue University Indianapolis,30,Jaguars,,,,,,,,
430,University of Wisconsin–Milwaukee,30,Panthers,,,,,,,,
431,Northern Kentucky University,30,Norse,,,,,,,,
432,Oakland University,30,Golden Grizzlies,,,,,,,,
433,University of Illinois at Chicago,30,Flames,,,,,,,,
434,Wright State University,30,Raiders,,,,,,,,
435,Youngstown State University,30,Penguins,,,,,,,,
436,Canisius College,32,Golden Griffins,,,,,,,,
437,Fairfield University,32,Stags,,,,,,,,
438,Iona College,32,Gaels,,,,,,,,
439,Manhattan College,32,Jaspers,,,,,,,,
440,Marist College,32,Red Foxes,,,,,,,,
441,Monmouth University,32,Hawks,,,,,,,,
442,Niagara University,32,Purple Eagles,,,,,,,,
443,Quinnipiac University,32,Bobcats,,,,,,,,
444,Rider University,32,Broncs,,,,,,,,
445,Saint Peter's University,32,Peacocks & Peahens,,,,,,,,
446,Siena College,32,Saints,,,,,,,,
447,Coppin State University,33,Eagles,,,,,,,,
448,Delaware State University,33,Hornets,,,,,,,,
449,Hampton University,33,Pirates,,,,,,,,
450,Howard University,33,Bisons,,,,,,,,
451,University of Maryland Eastern Shore,33,Hawks,,,,,,,,
452,Morgan State University,33,Bears,,,,,,,,
453,Norfolk State University,33,Spartans,,,,,,,,
454,Bethune–Cookman University,33,Wildcats,,,,,,,,
455,Florida A&M University,33,Rattlers,,,,,,,,
456,North Carolina Agricultural and Technical State University,33,Aggies,,,,,,,,
457,North Carolina Central University,33,Eagles,,,,,,,,
